NO SCARED,One Ok Rock,2011,E♭ Drop D♭,None,"December 3, 2013",None,
Yasashiku Naritai,Kazuyoshi Saito,2011,E♭ Drop D♭,None,"December 3, 2013",None,
Down with the Sickness,Disturbed,1999,E♭ Drop D♭,Disturbed Song Pack,"December 10, 2013",None,
Asylum,Disturbed,2010,E♭ Standard,Disturbed Song Pack,"December 10, 2013",None,
Voices,Disturbed,2000,E♭ Drop D♭,Disturbed Song Pack,"December 10, 2013",None,
Hysteria,Muse,2003,E Standard,Muse Song Pack,"December 17, 2013",None,
Time Is Running Out,Muse,2003,E Standard,Muse Song Pack,"December 17, 2013",None,
Supermassive Black Hole,Muse,2006,E Standard,Muse Song Pack,"December 17, 2013",None,
Stockholm Syndrome,Muse,2003,Drop D,Muse Song Pack,"December 17, 2013",None,
Muscle Museum,Muse,1999,E Standard,Muse Song Pack,"December 17, 2013",None,
Memeshikute,Golden Bomber,2009,E Standard,Golden Bomber Song Pack,"December 17, 2013",None,
Earphone,Golden Bomber,2012,E♭ Standard,Golden Bomber Song Pack,"December 17, 2013",None,
Death Mental,Golden Bomber,2012,E Standard,Golden Bomber Song Pack,"December 17, 2013",None,
Same Old Song and Dance,Aerosmith,1974,E Standard,Aerosmith Song Pack,"January 7, 2014",None,
Sweet Emotion,Aerosmith,1975,E Standard,Aerosmith Song Pack,"January 7, 2014",None,
Legendary Child,Aerosmith,2012,E Standard,Aerosmith Song Pack,"January 7, 2014",None,
Dream On,Aerosmith,1973,E Standard: A444,Aerosmith Song Pack,"January 7, 2014",None,
Oh Yeah,Aerosmith,2012,E Standard,Aerosmith Song Pack,"January 7, 2014",None,
Live Forever,Oasis,1994,E Standard: A449,Oasis Song Pack,"January 14, 2014",None,
Supersonic,Oasis,1994,E Standard,Oasis Song Pack,"January 14, 2014",None,
Champagne Supernova,Oasis,1995,E Standard: A443,Oasis Song Pack,"January 14, 2014",None,
Some Might Say,Oasis,1995,E Standard: A450,Oasis Song Pack,"January 14, 2014",None,
Wonderwall,Oasis,1995,Capo Required,Oasis Song Pack,"January 14, 2014",None,
Atarashii Hikari,9mm Parabellum Bullet,2011,Drop D,None,"January 14, 2014",None,
Punishment,9mm Parabellum Bullet,2007,E Standard,None,"January 14, 2014",None,
Buddy Holly,Weezer,1994,E♭ Standard,Weezer Song Pack,"January 21, 2014",None,
My Name Is Jonas,Weezer,1994,E♭ Standard,Weezer Song Pack,"January 21, 2014",None,
Island in the Sun,Weezer,2001,E Standard,Weezer Song Pack,"January 21, 2014",None,
Undone (The Sweater Song),Weezer,1994,E♭ Standard,Weezer Song Pack,"January 21, 2014",None,
Hash Pipe,Weezer,2001,E Standard,Weezer Song Pack,"January 21, 2014",None,
Aerials,System of a Down,2002,D Drop C,System of a Down Song Pack,"January 28, 2014",None,
B.Y.O.B.,System of a Down,2004,E♭ Drop D♭,System of a Down Song Pack,"January 28, 2014",None,
Toxicity,System of a Down,2002,D Drop C,System of a Down Song Pack,"January 28, 2014",None,
From Noon Till Dawn,Straightener,2012,E♭ Standard,None,"February 4, 2014",None,
ROCKSTEADY,Straightener,2002,E♭ Standard,None,"February 4, 2014",None,
Everybody Hurts,R.E.M.,1992,E Standard,R.E.M. Song Pack,"February 4, 2014",None,
Shiny Happy People,R.E.M.,1991,E Standard,R.E.M. Song Pack,"February 4, 2014",None,
The One I Love,R.E.M.,1987,E Standard,R.E.M. Song Pack,"February 4, 2014",None,
"What's the Frequency, Kenneth?",R.E.M.,1994,E Standard,R.E.M. Song Pack,"February 4, 2014",None,
Überlin,R.E.M.,2011,D Standard,R.E.M. Song Pack,"February 4, 2014",None,
Detroit Rock City,Kiss,1976,E♭ Standard,Kiss Song Pack,"February 11, 2014",None,
Heaven's On Fire,Kiss,1984,E Standard: A431,Kiss Song Pack,"February 11, 2014",None,
I Was Made for Lovin' You,Kiss,1979,E Standard,Kiss Song Pack,"February 11, 2014",None,
